id,egcs,ercs,erAtt
1850,Bangladesh,QGC - Ajoxi,96.0
1851,India,Name - Zain Omantel International FZ-LLC,95.0
1852,United Kingdom,VOIPBOXX - Ajoxi,98.0
1853,Malaysia,Name - Telecom Italia Sparkle,94.0
1854,France,ZAYTEL d.o.o. Softtop,94.0
1855,Spain,Coastnet Ajoxi,94.0
1856,Nepal,Name - Vodafone Idea Limited,94.0
1857,Sri Lanka,Telebiz International (Labuan) Corporation,94.0
1858,Bangladesh,Name - TVoice Telecom Limited,94.0
1859,Tanzania,Samitel Ltd,94.0
1860,Bangladesh,Name - TVoice Telecom Limited,94.0
1861,Bangladesh,Orange Business Services Softtop,94.0
1862,Bangladesh,Name - TVoice Telecom Limited,94.0
1863,Thailand,Astrolink Techopen,94.0
1864,India,Name JUPHOON (HK) LIMITED,94.0
1865,Spain,Coastnet Ajoxi,94.0
1866,Spain,Coastnet Ajoxi,94.0
1867,Laos,Name - HKBN,99.0
1868,Sri Lanka,HKBN ENTERPRISE SOLUTIONS LIMITED,108.0
1869,Nepal,Name - Vodafone Idea Limited,93.0
1870,Spain,Coastnet Ajoxi,93.0
1871,Bangladesh,Orange Business Services Softtop,93.0
1872,Malaysia,China Skyline Teloz NFS,93.0
1873,Sri Lanka,Telebiz International (Labuan) Corporation,93.0
1874,Bangladesh,Name - TVoice Telecom Limited,93.0
1875,Spain,Coastnet Ajoxi,93.0
1876,Bangladesh,TeleSense Global Carrier Pte Ltd. Teloz NFS,96.0
1877,Nepal,Name - Vodafone Idea Limited,93.0
1878,Bangladesh,Orange Business Services Softtop,93.0
1879,Laos,HKBN ENTERPRISE SOLUTIONS LIMITED,93.0
1880,Spain,Coastnet Ajoxi,93.0
1881,Tanzania,Samitel Ltd,93.0
1882,China,"Name - Vinculum Communications, Inc.",94.0
1883,Laos,HKBN ENTERPRISE SOLUTIONS LIMITED,93.0
1884,Indonesia,NAME - BHARTI AIRTEL,92.0
1885,Spain,Coastnet Ajoxi,92.0
1886,India,Zorra Voip - Letsdial,92.0
1887,Bangladesh,QGC - Ajoxi,92.0
1888,Indonesia,NAME - BHARTI AIRTEL,92.0
1889,Bangladesh,Name - TVoice Telecom Limited,92.0
1890,Spain,Coastnet Ajoxi,92.0
1891,Sri Lanka,Telebiz International (Labuan) Corporation,92.0
1892,Bangladesh,Orange Business Services Softtop,91.0
1893,France,TERMSAT L.L.C - Twiching,91.0
1894,Spain,Coastnet Ajoxi,91.0
1895,Bangladesh,QGC - Ajoxi,91.0
1896,Bangladesh,QGC - Ajoxi,91.0
1897,China,4G Network Techopen,91.0
1898,Bhutan,Easyvoipcall - Softtop,91.0
1899,Bangladesh,Onextel Technology Est - Ajoxi,91.0
1900,Spain,Coastnet Ajoxi,91.0
1901,Bangladesh,Progressive Telecom LLC. Letsdial,94.0
1902,Bangladesh,Name - TVoice Telecom Limited,91.0
1903,Bangladesh,Famous Telecom - Techopen NFS,91.0
1904,Indonesia,NAME - BHARTI AIRTEL,91.0
1905,Nepal,Name - Vodafone Idea Limited,91.0
1906,Laos,Name - HKBN,90.0
1907,Laos,Name - HKBN,90.0
1908,India,Name JUPHOON (HK) LIMITED,90.0
1909,Bangladesh,Name - TVoice Telecom Limited,90.0
1910,Bangladesh,Progressive Telecom LLC. Letsdial,90.0
1911,Bangladesh,Progressive Telecom LLC. Letsdial,90.0
1912,Sri Lanka,Telebiz International (Labuan) Corporation,90.0
1913,Malaysia,Name - Telecom Italia Sparkle,90.0
1914,Brazil,SVG-techopen,90.0
1915,Indonesia,NAME - BHARTI AIRTEL,90.0
1916,Laos,Name - HKBN,92.0
1917,Italy,PT ZOVOIP TELEKOMUNIKASI INDONESIA Ajoxi,90.0
1918,Indonesia,NAME - BHARTI AIRTEL,90.0
1919,Indonesia,NAME - BHARTI AIRTEL,90.0
1920,Laos,Name - HKBN,90.0
1921,Bangladesh,Orange Business Services Softtop,90.0
1922,Indonesia,NAME - BHARTI AIRTEL,90.0
1923,Italy,Figoria telecom - Ajoxi,90.0
1924,India,Name JUPHOON (HK) LIMITED,89.0
1925,Nepal,Name - Vodafone Idea Limited,89.0
1926,India,Name JUPHOON (HK) LIMITED,89.0
1927,Sri Lanka,HKBN ENTERPRISE SOLUTIONS LIMITED,107.0
1928,Bangladesh,Orange Business Services Softtop,89.0
1929,Thailand,Columbus Network Ajoxi,89.0
1930,India,Name JUPHOON (HK) LIMITED,89.0
1931,India,Speed Cloud Rozper NFS,89.0
1932,Nepal,Name - Vodafone Idea Limited,89.0
1933,France,Advance Com International (ADCOM)- Teloz NFS,89.0
1934,Indonesia,NAME - BHARTI AIRTEL,89.0
1935,India,Name - Zain Omantel International FZ-LLC,89.0
1936,Tanzania,Novatel,97.0
1937,Bangladesh,QGC - Ajoxi,90.0
1938,Brazil,TERMSAT INC Rozper NFS,88.0
1939,Bangladesh,Name - TVoice Telecom Limited,88.0
1940,Bangladesh,Figoria,88.0
1941,Bangladesh,Orange Business Services Softtop,88.0
1942,Bhutan,Easyvoipcall - Softtop,88.0
1943,India,Name JUPHOON (HK) LIMITED,88.0
1944,India,Name - GREEN PACKET GLOBAL PTE LTD,88.0
1945,Sri Lanka,Telebiz International (Labuan) Corporation,88.0
1946,Indonesia,NAME - BHARTI AIRTEL,88.0
1947,Sri Lanka,HKBN ENTERPRISE SOLUTIONS LIMITED,116.0
1948,Indonesia,NAME - BHARTI AIRTEL,87.0
1949,Bangladesh,Orange Business Services Softtop,87.0
1950,Bangladesh,Orange Business Services Softtop,87.0
1951,Brazil,SVG-techopen,87.0
1952,Pakistan,Name - TVoice Telecom Limited,87.0
1953,India,NAME CMI,87.0
1954,Japan,Name - CITIC Telecom International Limited,87.0
1955,Laos,HKBN ENTERPRISE SOLUTIONS LIMITED,87.0
1956,Sri Lanka,Telebiz International (Labuan) Corporation,87.0
1957,India,Name - GREEN PACKET GLOBAL PTE LTD,87.0
1958,Thailand,Astrolink Techopen,87.0
1959,Indonesia,NAME - BHARTI AIRTEL,87.0
1960,Bangladesh,Onextel Technology Est - Ajoxi,87.0
1961,Sri Lanka,HKBN ENTERPRISE SOLUTIONS LIMITED,99.0
1962,Laos,Name - HKBN,87.0
1963,Bangladesh,Orange Business Services Softtop,87.0
1964,India,Name JUPHOON (HK) LIMITED,87.0
1965,Indonesia,NAME - BHARTI AIRTEL,87.0
1966,Bangladesh,QGC - Ajoxi,86.0
1967,Sri Lanka,Telebiz International (Labuan) Corporation,88.0
1968,Indonesia,TM TECHNOLOGY SERVICES SDN. BHD.,86.0
1969,Kazakhstan,Kip Solution Rozper NFS,86.0
1970,Laos,HKBN ENTERPRISE SOLUTIONS LIMITED,86.0
1971,Nepal,Name - Vodafone Idea Limited,86.0
1972,Malaysia,Name - Telecom Italia Sparkle,86.0
1973,Indonesia,NAME - BHARTI AIRTEL,86.0
1974,India,Name JUPHOON (HK) LIMITED,86.0
1975,Indonesia,NAME - BHARTI AIRTEL,86.0
1976,Italy,Figoria telecom - Ajoxi,86.0
1977,Sri Lanka,Telebiz International (Labuan) Corporation,85.0
1978,Indonesia,NAME - BHARTI AIRTEL,85.0
1979,Bangladesh,Figoria,85.0
1980,India,Name JUPHOON (HK) LIMITED,85.0
1981,Indonesia,NAME - BHARTI AIRTEL,85.0
1982,Sri Lanka,Telebiz International (Labuan) Corporation,85.0
1983,United Kingdom,6Gtech Systems - Ajoxi,85.0
1984,Bhutan,Easyvoipcall - Softtop,85.0
1985,Sri Lanka,HKBN ENTERPRISE SOLUTIONS LIMITED,91.0
1986,Nepal,Name - Vodafone Idea Limited,85.0
1987,Indonesia,NAME - BHARTI AIRTEL,85.0
1988,Laos,HKBN ENTERPRISE SOLUTIONS LIMITED,85.0
